car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
2017 Mercedes-Benz S-Class S400,Jul-17,Comprehensive,Petrol,5,56000,First Owner,Automatic,2017,7.81,2996,2996,333,63.75
2020 Nissan Magnite Turbo CVT XV Premium Opt BSVI,Jan-21,Comprehensive,Petrol,5,30615,First Owner,Automatic,2020,17.4,999,999,9863,8.99
2018 BMW X1 sDrive 20d xLine,Sep-18,Comprehensive,Diesel,5,24000,First Owner,Automatic,2018,20.68,1995,1995,188,23.75
2019 Kia Seltos GTX Plus,Dec-19,Comprehensive,Petrol,5,18378,First Owner,Manual,2019,16.5,1353,1353,13808,13.56
2019 Skoda Superb LK 1.8 TSI AT,Aug-19,Comprehensive,Petrol,5,44900,First Owner,Automatic,2019,14.67,1798,1798,17746,24
2017 Honda Jazz 1.2 S i VTEC,Jul-17,Third Party insurance,Petrol,5,42000,First Owner,Manual,2017,18.7,1199,1199,887,5.45
2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,Feb-19,Comprehensive,Petrol,5,36739,First Owner,Manual,2018,18.9,1197,1197,8186,5.12
2018 Hyundai Creta 1.6 SX,Jul-18,Comprehensive,Petrol,5,76000,First Owner,Manual,2018,15.8,1591,1591,1213,9.3
2015 Mercedes-Benz S-Class S 350 CDI,Apr-15,Comprehensive,Diesel,5,68000,Second Owner,Automatic,2015,13.5,2987,2987,25479,42
2019 Tata Nexon 1.2 Revotron XZ Plus,Mar-19,Comprehensive,Petrol,5,28783,First Owner,Manual,2019,17,1198,1198,1085,8.02
2020 Honda City VX CVT,Mar-20,Comprehensive,Petrol,5,40000,First Owner,Automatic,2020,17.4,1497,1497,1176,10.95
2021 Renault Duster RXS,Feb-22,Comprehensive,Petrol,5,17382,First Owner,Manual,2021,16.42,1498,1498,10455,8.99
2014 BMW 3 Series 320d Prestige,2014,Third Party insurance,Diesel,5,120000,First Owner,Automatic,2014,18.88,1995,1995,184,7.45
2021 Hyundai Venue SX Plus Turbo DCT,Jan-22,Comprehensive,Petrol,5,17000,First Owner,Automatic,2021,18.15,998,998,11835,10.95
2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,Apr-19,Comprehensive,Petrol,5,26867,First Owner,Manual,2019,18.9,1197,1197,8186,5.78
2022 Hyundai i20 Asta Opt,Aug-22,Third Party insurance,Petrol,5,30000,First Owner,Manual,2022,21,1197,1197,8180,8.95
2014 BMW 3 Series 320d Luxury Line,2014,Third Party insurance,Diesel,5,150000,First Owner,Automatic,2014,18.88,1995,1995,184,8.5
2018 BMW 3 Series 320d Luxury Line,Mar-18,Comprehensive,Diesel,5,53000,First Owner,Automatic,2018,22.69,1995,1995,190,23.5
2019 Ford Ecosport 1.5 Petrol Titanium Plus BSIV,Nov-19,Comprehensive,Petrol,5,40000,First Owner,Manual,2019,17,1497,1497,12136,7.95
2020 Jeep Compass 1.4 Limited Plus,Nov-20,Comprehensive,Petrol,5,48000,First Owner,Automatic,2020,14.1,1368,1368,16077,18.95
2021 MG Gloster Savvy 6-Str,Sep-21,Comprehensive,Diesel,6,35000,First Owner,Automatic,2021,12.4,1996,1996,21501,35
2010 Maruti Swift 1.2 VXi BSII,Oct-10,Comprehensive,Petrol,5,100525,First Owner,Manual,2010,16.1,1197,1197,85,2.09
2015 Honda City i VTEC CVT VX,Sep-15,Third Party insurance,Petrol,5,83000,Second Owner,Automatic,2015,18,1497,1497,1173,6.25
2011 Maruti Wagon R LXI BSIII,Aug-11,Comprehensive,Petrol,5,40191,Second Owner,Manual,2011,998,671,671,90,2.12
2015 Audi A6 35 TDI,Dec-15,Comprehensive,Diesel,5,62152,First Owner,Automatic,2015,18.53,1968,1968,18774,20
2017 Hyundai Creta 1.6 VTVT S,Aug-17,Third Party insurance,Petrol,5,49000,First Owner,Manual,2017,15.29,1591,1591,1213,8.35
2017 Maruti Baleno 1.2 Delta,Aug-17,Comprehensive,Petrol,5,56215,First Owner,Manual,2017,21.4,1197,1197,831,5.03
2018 Toyota Yaris J,Sep-18,Comprehensive,Petrol,5,53000,First Owner,Manual,2018,17.1,1496,1496,10594,6.95
2015 Toyota Fortuner 4x2 AT,Sep-15,Comprehensive,Diesel,7,100000,First Owner,Automatic,2015,12.55,2982,2982,1685,16
2020 Hyundai Creta SX Turbo BSVI,Aug-20,Comprehensive,Petrol,5,36346,First Owner,Automatic,2020,16.8,1353,1353,13808,15.22
2018 Jaguar XE 2.0L Diesel Portfolio,Jul-18,Comprehensive,Diesel,5,48000,First Owner,Automatic,2018,13.5,1999,1999,177,26.95
2019 Hyundai i20 Sportz Plus BSIV,Nov-19,Comprehensive,Petrol,5,42098,First Owner,Manual,2019,18.6,1197,1197,8186,6.7
2018 Jeep Compass 2.0 Longitude Option BSIV,2018,Third Party insurance,Diesel,5,40000,First Owner,Manual,2018,17.1,1956,1956,170,10.75
2019 BMW X1 sDrive 20d xLine,Oct-19,Comprehensive,Diesel,5,64000,First Owner,Automatic,2019,20.68,1995,1995,188,25.5
2022 Maruti Swift ZXI Plus DT AMT BSVI,Dec-22,Comprehensive,Petrol,5,13158,First Owner,Automatic,2022,22.56,1197,1197,8850,8.38
2018 Hyundai Creta 1.6 SX Automatic Diesel,Jun-18,Third Party insurance,Diesel,5,65400,First Owner,Automatic,2018,17.6,1582,1582,1262,10.9
2017 Honda Amaze S i-VTEC,2017,Third Party insurance,Petrol,5,100000,First Owner,Manual,2017,17.8,1198,1198,867,3.95
2022 Tata Tiago XZ Plus CNG BSVI,Aug-22,Comprehensive,CNG,5,30000,First Owner,Manual,2022,26.49,1199,1199,72,7.25
2017 Honda Jazz 1.5 E i DTEC,Jun-17,Comprehensive,Diesel,5,62000,First Owner,Manual,2017,1498,986,986,200,4.75
2010 Volkswagen Beetle 2.0,May-10,Comprehensive,Petrol,4,40000,First Owner,Automatic,2010,10.98,1984,1984,1144,11.95
2021 MG Gloster Savvy 6-Str,Sep-21,Comprehensive,Diesel,6,35000,First Owner,Automatic,2021,12.4,1996,1996,21501,35
2010 Maruti Swift 1.2 VXi BSII,Oct-10,Comprehensive,Petrol,5,100525,First Owner,Manual,2010,16.1,1197,1197,85,2.09
2015 Honda City i VTEC CVT VX,Sep-15,Third Party insurance,Petrol,5,83000,Second Owner,Automatic,2015,18,1497,1497,1173,6.25
2011 Maruti Wagon R LXI BSIII,Aug-11,Comprehensive,Petrol,5,40191,Second Owner,Manual,2011,998,671,671,90,2.12
2015 Audi A6 35 TDI,Dec-15,Comprehensive,Diesel,5,62152,First Owner,Automatic,2015,18.53,1968,1968,18774,20
2017 Hyundai Creta 1.6 VTVT S,Aug-17,Third Party insurance,Petrol,5,49000,First Owner,Manual,2017,15.29,1591,1591,1213,8.35
2017 Maruti Baleno 1.2 Delta,Aug-17,Comprehensive,Petrol,5,56215,First Owner,Manual,2017,21.4,1197,1197,831,5.03
